city,postal_code,ad_type,property_type,reference,title,publication_date,modification_date,new_property,rooms_quantity,bedrooms_quantity,price,photos
Montvalent,46600,prestige,castle,402,Château à vendre dans le lot avec dépendances et piscine.,1970-01-01T00:00:00.000Z,2023-08-27T12:12:08.977Z,False,26,13,797600,"https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226a.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226b.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226c.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226d.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226e.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226f.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226g.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226h.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226i.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226j.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226k.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226l.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226m.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226n.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226o.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226p.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226q.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226r.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226s.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226t.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226u.jpg?DATEMAJ=23/11/2022-09:45:40, https://media.immo-facile.com/office15/nestenn_brive_la_gaillarde/catalog/images/pr_web/3/8/0/8/9/2/2/6/38089226v.jpg?DATEMAJ=23/11/2022-09:45:40"
Turenne,19500,buy,castle,BR695FR,"Turenne Collonges la rouge - Demeure du XVIII siècle de 300 m² habitables sur une parcelle 1,9 ha à rénover entièrement",1970-01-01T00:00:00.000Z,2023-09-07T18:41:32.649Z,False,10,5,320000,"https://photos.ubiflow.net/190417/353704795/photos/1.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/2.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/3.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/4.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/5.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/6.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/7.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/8.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/9.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/10.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/11.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/12.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/13.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/14.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/15.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/16.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/17.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/18.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/19.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/20.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/21.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/22.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/23.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/24.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/25.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/26.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/27.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/28.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/29.jpg?INSOON_EB_5512801818_20230907125530, https://photos.ubiflow.net/190417/353704795/photos/30.jpg?INSOON_EB_5512801818_20230907125530"
Biviers,38330,prestige,castle,1092,Manoir 15 pièces BIVIERS,1970-01-01T00:00:00.000Z,2023-08-28T00:27:38.262Z,False,15,11,5000000,"https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284aa5b3d9.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284ac59fb2.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284b04b560.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284afdf53a.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a4a04c0.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a554fcf.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a64d075.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a980672.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a6b0c5c.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284abe0c30.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284aa9b4da.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a9ef475.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284ad57153.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a789ae6.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a84d099.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284aea6c34.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284ae6b679.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284a7e1eb4.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284ad18404.jpg?v=1656915906, https://media.kwfrance.com/properties/pictures/2/4/6/7/3/5/pictbien_62c284b09c1d5.jpg?v=1656915906"
Lyon,69000,prestige,castle,4189,Château du XVIème siècle et son parc au coeur de Lyon,2023-09-02T00:23:29.549Z,2023-09-03T12:12:31.200Z,False,20,6,7176000,"https://media.kwfrance.com/properties/pictures/2/9/1/7/2/9/64ac46c987e9e.jpg?v=1689011913, https://media.kwfrance.com/properties/pictures/2/9/1/7/2/9/64ac46ca1c69f.jpg?v=1689011913, https://media.kwfrance.com/properties/pictures/2/9/1/7/2/9/64ac46caa3c32.jpg?v=1689011913, https://media.kwfrance.com/properties/pictures/2/9/1/7/2/9/64ac46cbc5dc6.jpg?v=1689011913, https://media.kwfrance.com/properties/pictures/2/9/1/7/2/9/64ac46cc586dd.jpg?v=1689011913, https://media.kwfrance.com/properties/pictures/2/9/1/7/2/9/64ac46ccdd1f6.jpg?v=1689011913, https://media.kwfrance.com/properties/pictures/2/9/1/7/2/9/64ac46cd7292d.jpg?v=1689011913, https://media.kwfrance.com/properties/pictures/2/9/1/7/2/9/64ac46ce14521.jpg?v=1689011913"
Les Loges,76790,buy,castle,VM32153-PERREY,Domaine 3 hectares proche Etretat,2023-08-31T16:31:18.058Z,2023-09-11T16:27:17.589Z,False,27,16,1290000,"https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_11_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485712_VM32153_7_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485712_VM32153_24_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485712_VM32153_19_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_43_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485712_VM32153_23_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_4_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_10_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_3_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_12_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_6_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_9_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_1_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_13_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_8_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_5_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485712_VM32153_15_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_16_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_2_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_17_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485711_VM32153_21_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485712_VM32153_18_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_25_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_26_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_27_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485712_VM32153_28_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_29_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_30_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_31_original.jpg, https://img.netty.immo/productw/perrey/2/VM32153/1693485713_VM32153_32_original.jpg"
Jarnac,16200,buy,castle,1301973,Vente Château 19 pièces,2023-08-14T13:32:10.064Z,2023-08-16T14:21:38.249Z,False,19,10,1990000,"https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-1.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-2.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-3.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-4.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-5.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-6.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-7.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-8.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-9.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-10.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-11.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-12.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-13.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-14.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-15.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-16.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-17.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-18.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-19.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-20.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-21.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-22.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-23.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-24.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-25.jpg?bridge=bien-ici&ts=202308141148, https://passerelle.static.iadfrance.com/photos/realestate/2023-04/product-1344834-26.jpg?bridge=bien-ici&ts=202308141148"
Saint-Félix-de-Lunel,12320,prestige,castle,981251,"ANCIENNE DEPENDANCE DE L'ABBAYE DE CONQUES, CONSTITUEE D'UN CHATEAU",2023-07-21T11:25:43.915Z,2023-08-25T17:30:10.687Z,False,7,6,515000,"https://photo.safti.fr/biens/9/81/981251/fed858dd4d4b2496fa89c3f7f08b0f2aa95e6352/rg.jpg?2, https://photo.safti.fr/biens/9/81/981251/83740cc036f8141c45fc0260fb8022107104dc7d/g.jpg, https://photo.safti.fr/biens/9/81/981251/1084cbcc27ef17e104a4654658ce3401202c5318/g.jpg, https://photo.safti.fr/biens/9/81/981251/4b8fca13813e9a68197d381743121bf68585ead8/g.jpg, https://photo.safti.fr/biens/9/81/981251/b3eae31ecd7891fb3c27cebed382a59a6c1efe82/rg.jpg?2, https://photo.safti.fr/biens/9/81/981251/e1657fb1867ae6f19a3557fab7543562e271e2cf/g.jpg, https://photo.safti.fr/biens/9/81/981251/cc7ed10378b66926f8a67061c9c9c613745773d0/g.jpg, https://photo.safti.fr/biens/9/81/981251/64b004f2be22136a79ce549e9082d6dd4b494e7f/g.jpg, https://photo.safti.fr/biens/9/81/981251/32c76ea560d9ddbdc30d47d5edcc4fe038b49799/rg.jpg?2, https://photo.safti.fr/biens/9/81/981251/662e16600838682b1fd41f22acd0dba5c89681b5/g.jpg, https://photo.safti.fr/biens/9/81/981251/b631d85ac85f2d43ddeaad772fb48b3343c762b7/g.jpg, https://photo.safti.fr/biens/9/81/981251/d99e0e3a87895270b30d1a19b5df94bb7193d542/g.jpg, https://photo.safti.fr/biens/9/81/981251/dde05ca67b933aa3af6e71d71c1bc9f683a7ee64/g.jpg, https://photo.safti.fr/biens/9/81/981251/5ea26fb57a0fd5f7774a887f1de6439fd6d526e8/rg.jpg?2, https://photo.safti.fr/biens/9/81/981251/c38c04d58b88c06f0a6b84962ba61eceee97f76a/rg.jpg?2"
Roquecor,82150,buy,castle,2540,Château,2023-07-14T19:35:31.535Z,2023-08-18T21:15:03.075Z,False,20,7,1490000,"https://photos.ubiflow.net/313646/392143868/photos/1.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/2.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/3.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/4.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/5.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/6.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/7.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/8.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/9.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/10.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/11.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/12.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/13.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/14.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/15.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/16.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/17.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/18.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/19.jpg?INSOON_EB_5512801818_20230714184833, https://photos.ubiflow.net/313646/392143868/photos/20.jpg?INSOON_EB_5512801818_20230714184833"
Cazenave-Serres-et-Allens,09400,buy,castle,1351760,Vente Château 8 pièces,1970-01-01T00:00:00.000Z,2023-09-03T08:05:08.337Z,False,8,,549990,"https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-1.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-2.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-3.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-4.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-5.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-6.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-7.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-8.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-9.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-10.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-11.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-12.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-13.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-14.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-15.jpg?bridge=bien-ici&ts=202307271620, https://passerelle.static.iadfrance.com/photos/realestate/2023-06/product-1398201-16.jpg?bridge=bien-ici&ts=202307271620"
Brullioles,69690,prestige,castle,1971EB-5288250,DOMAINE D'EXCEPTION MONTS DU LYONNAIS,1970-01-01T00:00:00.000Z,2023-09-04T21:56:20.695Z,False,15,10,2680000,"https://photos.rodacom.net/resize/s3_standard_53f14c58bda867f63678079d4abf2cdef8270e97.jpg, https://photos.rodacom.net/resize/s3_standard_4aed179ee232ad736fb30f090edbd3ae43e97d37.jpg, https://photos.rodacom.net/resize/s3_standard_0422c5d160c0077f0d1df54dfc3a96af29e0c418.jpg, https://photos.rodacom.net/resize/s3_standard_7235194090d916a865d9167a4b54445572ef5e72.jpg, https://photos.rodacom.net/resize/s3_standard_38a18b75bc58efc66fb2f393c1547f80136e27a0.jpg, https://photos.rodacom.net/resize/s3_standard_85502992f00c534128435692e745e201611e8e45.jpg, https://photos.rodacom.net/resize/s3_standard_a071b49a8aa66e5874ef3ac539732bf5681bb077.jpg, https://photos.rodacom.net/resize/s3_standard_53a3b02654b0b9364e83d181a95095af59aa884d.jpg, https://photos.rodacom.net/resize/s3_standard_e2d2327810cb4f006672255efca6ec2589aa760a.jpg, https://photos.rodacom.net/resize/s3_standard_1012e1f399abac5377a27d7a96a749a8c49eef4f.jpg, https://photos.rodacom.net/resize/s3_standard_67dd1136c4b0c039e2303f1274f186fcd66a7a71.jpg, https://photos.rodacom.net/resize/s3_standard_5ac5b736c72ce8d32461c56e6d094fa7491283da.jpg, https://photos.rodacom.net/resize/s3_standard_f071332f98d2510f488e1d9bde04a4821601f385.jpg, https://photos.rodacom.net/resize/s3_standard_a14732d5b0903df39c5506758f89aeda468314e5.jpg, https://photos.rodacom.net/resize/s3_standard_ac75c32a2092248f8fc32c0e82f39795783bc456.jpg, https://photos.rodacom.net/resize/s3_standard_178a5327cc3b2a0b8fd22e7898447a431ac61aac.jpg, https://photos.rodacom.net/resize/s3_standard_389f0a810d306c720b5ee2e83d7d4d66f973e47a.jpg, https://photos.rodacom.net/resize/s3_standard_1274c34a893feeccae78e2be4c330bbd19d96c62.jpg, https://photos.rodacom.net/resize/s3_standard_61a0c2daf32dedc8c841fd166eab119bb510cc8d.jpg, https://photos.rodacom.net/resize/s3_standard_274e109533c2a0bcfb03489d8818c3f0eb6d9354.jpg"
